year,cpi_index,source,retrieved,provisional
2004,13.296,WDI FP.CPI.TOTL (rebased 2019=100),2026-07-29,FALSE
2005,15.345,WDI FP.CPI.TOTL (rebased 2019=100),2026-07-29,FALSE
2006,17.49,WDI FP.CPI.TOTL (rebased 2019=100),2026-07-29,FALSE
2007,18.881,WDI FP.CPI.TOTL (rebased 2019=100),2026-07-29,FALSE
2008,20.526,WDI FP.CPI.TOTL (rebased 2019=100),2026-07-29,FALSE
2009,22.254,WDI FP.CPI.TOTL (rebased 2019=100),2026-07-29,FALSE
2010,23.904,WDI FP.CPI.TOTL (rebased 2019=100),2026-07-29,FALSE
2011,25.726,WDI FP.CPI.TOTL (rebased 2019=100),2026-07-29,FALSE
2012,31.198,WDI FP.CPI.TOTL (rebased 2019=100),2026-07-29,FALSE
2013,39.71,WDI FP.CPI.TOTL (rebased 2019=100),2026-07-29,FALSE
2014,49.158,WDI FP.CPI.TOTL (rebased 2019=100),2026-07-29,FALSE
2015,59.907,WDI FP.CPI.TOTL (rebased 2019=100),2026-07-29,FALSE
2016,72.914,WDI FP.CPI.TOTL (rebased 2019=100),2026-07-29,FALSE
2017,81.331,WDI FP.CPI.TOTL (rebased 2019=100),2026-07-29,FALSE
2018,91.432,WDI FP.CPI.TOTL (rebased 2019=100),2026-07-29,FALSE
2019,100,WDI FP.CPI.TOTL (rebased 2019=100),2026-07-29,FALSE
2020,108.626,WDI FP.CPI.TOTL (rebased 2019=100),2026-07-29,FALSE
2021,118.76,WDI FP.CPI.TOTL (rebased 2019=100),2026-07-29,FALSE
2022,143.645,WDI FP.CPI.TOTL (rebased 2019=100),2026-07-29,FALSE
2023,185.001,WDI FP.CPI.TOTL (rebased 2019=100),2026-07-29,FALSE
2024,244.533,WDI FP.CPI.TOTL (rebased 2019=100),2026-07-29,TRUE
2025,313.908,WDI FP.CPI.TOTL (rebased 2019=100),2026-07-29,TRUE
